Island Harbour	18.25601	-63.0102	0
George Hill	18.19939	-63.0665	0
East End Village	18.23333	-63	0
Blowing Point Village	18.17648	-63.09375	942
Sandy Hill	18.22104	-63.01329	0
Sarandë	39.87534	20.00477	15147
Tepelenë	40.29583	20.01917	11955
Poliçan	40.61222	20.09806	10663
Pogradec	40.9025	20.6525	61530
Peshkopi	41.685	20.42889	14848
Përmet	40.23361	20.35167	10686
Kukës	42.07694	20.42194	17832
Korçë	40.61861	20.78083	58259
Gramsh	40.86972	20.18444	11556
Gjirokastër	40.07583	20.13889	23437
Ersekë	40.33778	20.67889	7890
Elbasan	41.1125	20.08222	100903
Çorovodë	40.50417	20.22722	14046
Burrel	41.61028	20.00889	15405
Bulqizë	41.49167	20.22194	11212
Bilisht	40.6275	20.99	7114
Librazhd-Qendër	41.19694	20.33556	12691
Vlorë	40.4686	19.48318	89546
Tirana	41.3275	19.81889	374801
Shkodër	42.06828	19.51258	88245
Shijak	41.34556	19.56722	14138
Selenicë	40.53056	19.63583	6912
Rrogozhinë	41.07639	19.66528	5620
Rrëshen	41.7675	19.87556	10064
Roskovec	40.7375	19.70222	6657
Pukë	42.04444	19.89972	6495
Peqin	41.04611	19.75111	7513
Patos Fshat	40.64278	19.65083	22679
Patos	40.68333	19.61944	60000
Mamurras	41.5775	19.69222	8282
Lushnjë	40.94194	19.705	41469
Lezhë	41.78361	19.64361	18695
Laç	41.63556	19.71306	24825
Kuçovë	40.80028	19.91667	18166
Krujë	41.50917	19.79278	21286
Kavajë	41.18556	19.55694	29354
Kamëz	41.38167	19.76028	11026
Fushë-Krujë	41.47833	19.71778	10458
Fier-Çifçi	40.71667	19.56667	60995
Fier	40.72389	19.55611	56297
Durrës	41.32355	19.45469	122034
Cërrik	41.03167	19.97583	14269
Berat	40.70583	19.95222	46866
Ballsh	40.59889	19.73472	10361
Yeghegnadzor	39.76389	45.33239	8200
Vedi	39.91388	44.7251	12192
Vayk’	39.6889	45.46668	5419
Kapan	39.20755	46.40576	33160
Goris	39.51111	46.34168	20379
Hats’avan	39.46405	45.97047	15208
Artashat	39.96144	44.54447	20562
Ararat	39.83069	44.70569	28832
Yerevan	40.18111	44.51361	1093485
Vagharshapat	40.16557	44.29462	46540
Yeghvard	40.32507	44.48608	10705
Vardenis	40.18329	45.73053	11382
Vardenik	40.13348	45.44311	7709
Tashir	41.12072	44.28462	7318
Step’anavan	41.00995	44.38531	23782
Spitak	40.83221	44.26731	15059
Sevan	40.5473	44.94171	17083
Sarukhan	40.29169	45.13068	6173
Sardarapat	40.13206	44.00969	5348
Noyemberyan	41.17244	44.99917	5119
Noratus	40.37793	45.18048	5426
Nerk’in Getashen	40.14172	45.27087	7010
Metsamor	40.07233	44.29169	8789
Masis	40.06572	44.41913	18911
Martuni	40.13892	45.30548	11037
Vanadzor	40.80456	44.4939	101098
Karanlukh	40.10444	45.28972	5104
Gavarr	40.35398	45.12386	21680
