County,Population
Anne Arundel,579234
Baltimore,827370
Carroll,168447
Harford,255441
Howard,325690
Baltimore City,593490
Frederick,259547
Montgomery,1050688
Prince George's,909327
Calvert,92525
Charles,163257
St. Mary's,113510
Allegany,70416
Garrett,29014
Washington,151049
Caroline,33406
Cecil,102855
Kent,19422
Queen Anne's,50381
Talbot,37181
Dorchester,31929
Somerset,25616
Wicomico,103609
Worcester,52276
